Qty,Part,Value,Device,Package,DIGIKEY
5,"C5, C6, C18, C19, C20",100uF 25V,2917_CAP_POL,2917_CAP_POL,399-5175-1-ND
1,C7,1uF,C-EUC0603,C0603,445-1321-1-ND
1,C8,4.7uF,C-EUC0603,C0603,445-5178-1-ND
8,"C10, C13, C17, C21, C22, C23, C24, C25",0.1uF,C-EUC0603,C0603,445-1316-1-ND
1,C11,10uF,C-EUC1206,C1206,399-8152-1-ND
1,C12,2.2uF,CAP_POLEA1MM5,CPOL_EEA_1MM5,P14506-ND
1,C16,47uF,CAP_POL1206,EIA3216,399-3700-1-ND
3,"J2, J6, J7",MA02-1,MA02-1,MA02-1,609-4434-ND
1,J3,MA02-1,MA02-1,MA02-1,A98333-ND
1,J8,EPIC-PROG-PORT,EPIC-PROG-PORT,HEADER2X3X2MM,WM18834-ND
1,L1,10uH,INDUCTOR1210,1210,587-1625-1-ND
1,L3,,INDUCTOR0603,603,240-2373-1-ND
1,LED4,,LED0603,LED-0603,1080-1400-1-ND
2,"LED5, LED16",,LED0603,LED-0603,1080-1405-1-ND
6,"R1, R6, R7, R8, R9, R10",0,R-US_R0603,R0603,P0.0GCT-ND
1,R3,10k,RESISTOR0603-RES,0603-RES,P10KGCT-ND
1,R4,4.7M,R-US_R0805,R0805,P4.7MACT-ND
3,"R14, R31, R32",240,RESISTOR0603-RES,0603-RES,P240GCT-ND
3,"R24, R25, R26",4.7k,R-US_R0603,R0603,P4.7KGCT-ND
1,S2,SWITCH-OFF-MOM,SWITCH-OFF-MOM,SWITCH-OFF-MOM,P11084SCT-ND
1,SW1,SWITCH_SPDP,SWITCH_SPDP,SWITCH_SPDP,563-1021-1-ND
3,"T1, T2, T3",NCHAN_MOSFET,NCHAN_MOSFET,NCHAN_MOSFET,568-3244-1-ND
1,U1,EPIC-CORE_A,EPIC-CORE_A,EPIC-LCC68,
1,U2,LTC3588_,LTC3588_,MSOP-10-GNDPAD,LTC3588EMSE-1#PBF-ND
1,U3,FM25LB,FM25LB,SOIC_8,428-3210-ND
1,U10,FT232RL,FT232RL,SSOP28,768-1007-1-ND
1,X2,USBSMD,USBSMD,USB-MINIB,670-1190-1-ND
